date,expiration,ticker,underlying_price,option_type,strike,T_years,q,iv,option_price,moneyness_K_over_S,contractSize,r,r_cont
2025-03-13,2025-06-12,AEP,102.4735,P,102.47,0.249315,0.0,0.22,4.0006,1.0,100,0.0386,0.03787365
2025-03-13,2025-09-11,AEP,102.4735,C,92.23,0.49863,0.0,0.214578,13.6131,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,AEP,102.4735,C,112.72,0.49863,0.0,0.204079,2.8696,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,AEP,102.4735,C,122.97,0.49863,0.0,0.199688,0.9455,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,AEP,102.4735,P,92.23,0.49863,0.0,0.214578,1.705,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,AEP,102.4735,P,112.72,0.49863,0.0,0.204079,11.0818,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,AEP,102.4735,P,122.97,0.49863,0.0,0.199688,19.2227,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,AMT,204.4653,C,163.57,0.249315,0.083637,0.232622,38.4946,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,AMT,204.4653,C,245.36,0.249315,0.083637,0.210197,0.2939,1.2,100,0.0386,0.03787365
2025-03-13,2025-06-12,AMT,204.4653,P,163.57,0.249315,0.083637,0.232622,0.2814,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,AMT,204.4653,P,245.36,0.249315,0.083637,0.210197,43.1021,1.2,100,0.0386,0.03787365
2025-03-13,2025-09-11,AMT,204.4653,C,184.02,0.49863,0.083637,0.214578,20.7024,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,AMT,204.4653,C,204.47,0.49863,0.083637,0.209,9.4878,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,AMT,204.4653,C,224.91,0.49863,0.083637,0.204079,3.4477,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,AMT,204.4653,P,184.02,0.49863,0.083637,0.214578,5.2877,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,AMT,204.4653,P,204.47,0.49863,0.083637,0.209,14.154,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,AMT,204.4653,P,224.91,0.49863,0.083637,0.204079,28.185,1.1,100,0.0372,0.03652477
2025-03-13,2025-06-12,AMZN,193.89,C,155.11,0.249315,0.0,0.232622,40.4066,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,AMZN,193.89,C,193.89,0.249315,0.0,0.22,9.395,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,AMZN,193.89,P,155.11,0.249315,0.0,0.232622,0.1688,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,AMZN,193.89,P,193.89,0.249315,0.0,0.22,7.5728,1.0,100,0.0386,0.03787365
2025-03-13,2025-09-11,AMZN,193.89,C,174.5,0.49863,0.0,0.214578,25.7635,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,AMZN,193.89,C,213.28,0.49863,0.0,0.204079,5.4289,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,AMZN,193.89,C,232.67,0.49863,0.0,0.199688,1.7891,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,AMZN,193.89,P,174.5,0.49863,0.0,0.214578,3.2242,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,AMZN,193.89,P,213.28,0.49863,0.0,0.204079,20.9697,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,AMZN,193.89,P,232.67,0.49863,0.0,0.199688,36.37,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,APD,289.2254,C,260.3,0.249315,0.028659,0.225872,32.0951,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,APD,289.2254,C,289.23,0.249315,0.028659,0.22,12.8939,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,APD,289.2254,C,318.15,0.249315,0.028659,0.21482,3.4372,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,APD,289.2254,P,260.3,0.249315,0.028659,0.225872,2.7826,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,APD,289.2254,P,289.23,0.249315,0.028659,0.22,12.2395,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,APD,289.2254,P,318.15,0.249315,0.028659,0.21482,31.431,1.1,100,0.0386,0.03787365
2025-03-13,2025-09-11,APD,289.2254,C,231.38,0.49863,0.028659,0.220991,59.2032,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,APD,289.2254,C,347.07,0.49863,0.028659,0.199688,2.1503,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,APD,289.2254,P,231.38,0.49863,0.028659,0.220991,1.2857,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,APD,289.2254,P,347.07,0.49863,0.028659,0.199688,57.8349,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,BA,159.32,C,127.46,0.249315,0.0,0.232622,33.1968,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,BA,159.32,C,143.39,0.249315,0.0,0.225872,18.6425,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,BA,159.32,C,175.25,0.249315,0.0,0.21482,2.1409,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,BA,159.32,C,191.18,0.249315,0.0,0.210197,0.3786,1.2,100,0.0386,0.03787365
2025-03-13,2025-06-12,BA,159.32,P,127.46,0.249315,0.0,0.232622,0.1389,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,BA,159.32,P,143.39,0.249315,0.0,0.225872,1.3649,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,BA,159.32,P,175.25,0.249315,0.0,0.21482,16.4239,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,BA,159.32,P,191.18,0.249315,0.0,0.210197,30.4419,1.2,100,0.0386,0.03787365
2025-03-13,2025-09-11,BA,159.32,C,159.32,0.49863,0.0,0.209,10.7954,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,BA,159.32,P,159.32,0.49863,0.0,0.209,7.92,1.0,100,0.0372,0.03652477
2025-03-13,2025-06-12,BAC,39.2194,C,35.3,0.249315,0.0,0.225872,4.5875,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,BAC,39.2194,P,35.3,0.249315,0.0,0.225872,0.3363,0.9,100,0.0386,0.03787365
2025-03-13,2025-09-11,BAC,39.2194,C,31.38,0.49863,0.0,0.220991,8.5486,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,BAC,39.2194,C,39.22,0.49863,0.0,0.209,2.6572,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,BAC,39.2194,C,43.14,0.49863,0.0,0.204079,1.0986,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,BAC,39.2194,C,47.06,0.49863,0.0,0.199688,0.3623,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,BAC,39.2194,P,31.38,0.49863,0.0,0.220991,0.1428,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,BAC,39.2194,P,39.22,0.49863,0.0,0.209,1.9499,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,BAC,39.2194,P,43.14,0.49863,0.0,0.204079,4.2405,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,BAC,39.2194,P,47.06,0.49863,0.0,0.199688,7.3535,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,C,66.2609,C,66.26,0.249315,0.0,0.22,3.2111,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,C,66.2609,C,72.89,0.249315,0.0,0.21482,0.8896,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,C,66.2609,C,79.51,0.249315,0.0,0.210197,0.1575,1.2,100,0.0386,0.03787365
2025-03-13,2025-06-12,C,66.2609,P,66.26,0.249315,0.0,0.22,2.5876,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,C,66.2609,P,72.89,0.249315,0.0,0.21482,6.8337,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,C,66.2609,P,79.51,0.249315,0.0,0.210197,12.6594,1.2,100,0.0386,0.03787365
2025-03-13,2025-09-11,C,66.2609,C,53.01,0.49863,0.0,0.220991,14.4484,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,C,66.2609,C,59.63,0.49863,0.0,0.214578,8.8079,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,C,66.2609,P,53.01,0.49863,0.0,0.220991,0.2408,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,C,66.2609,P,59.63,0.49863,0.0,0.214578,1.1009,0.9,100,0.0372,0.03652477
2025-03-13,2025-06-12,CAT,330.5021,C,264.4,0.249315,0.0,0.232622,68.8748,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,CAT,330.5021,C,297.45,0.249315,0.0,0.225872,38.6779,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,CAT,330.5021,C,363.55,0.249315,0.0,0.21482,4.4408,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,CAT,330.5021,C,396.6,0.249315,0.0,0.210197,0.7851,1.2,100,0.0386,0.03787365
2025-03-13,2025-06-12,CAT,330.5021,P,264.4,0.249315,0.0,0.232622,0.2878,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,CAT,330.5021,P,297.45,0.249315,0.0,0.225872,2.8304,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,CAT,330.5021,P,363.55,0.249315,0.0,0.21482,34.0721,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,CAT,330.5021,P,396.6,0.249315,0.0,0.210197,63.1557,1.2,100,0.0386,0.03787365
2025-03-13,2025-09-11,CAT,330.5021,C,330.5,0.49863,0.0,0.209,22.3956,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,CAT,330.5021,P,330.5,0.49863,0.0,0.209,16.4288,1.0,100,0.0372,0.03652477
2025-03-13,2025-06-12,COP,94.5979,C,75.68,0.249315,0.045274,0.232622,18.6733,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,COP,94.5979,C,85.14,0.249315,0.045274,0.225872,10.1692,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,COP,94.5979,C,104.06,0.249315,0.045274,0.21482,1.0453,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,COP,94.5979,P,75.68,0.249315,0.045274,0.232622,0.106,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,COP,94.5979,P,85.14,0.249315,0.045274,0.225872,0.973,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,COP,94.5979,P,104.06,0.249315,0.045274,0.21482,10.5913,1.1,100,0.0386,0.03787365
2025-03-13,2025-09-11,COP,94.5979,C,94.6,0.49863,0.045274,0.209,5.2515,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,COP,94.5979,C,113.52,0.49863,0.045274,0.199688,0.6181,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,COP,94.5979,P,94.6,0.49863,0.045274,0.209,5.658,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,COP,94.5979,P,113.52,0.49863,0.045274,0.199688,19.6031,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,COST,888.2306,C,888.23,0.249315,0.031492,0.22,39.2756,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,COST,888.2306,P,888.23,0.249315,0.031492,0.22,37.8741,1.0,100,0.0386,0.03787365
2025-03-13,2025-09-11,COST,888.2306,C,710.58,0.49863,0.031492,0.220991,180.6619,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,COST,888.2306,C,799.41,0.49863,0.031492,0.214578,106.958,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,COST,888.2306,C,977.05,0.49863,0.031492,0.204079,20.6851,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,COST,888.2306,C,1065.88,0.49863,0.031492,0.199688,6.4611,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,COST,888.2306,P,710.58,0.49863,0.031492,0.220991,4.0262,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,COST,888.2306,P,799.41,0.49863,0.031492,0.214578,17.5491,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,COST,888.2306,P,977.05,0.49863,0.031492,0.204079,105.7102,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,COST,888.2306,P,1065.88,0.49863,0.031492,0.199688,178.7131,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,CRM,270.4132,C,216.33,0.249315,0.037399,0.232622,53.8967,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,CRM,270.4132,C,243.37,0.249315,0.037399,0.225872,29.5151,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,CRM,270.4132,P,216.33,0.249315,0.037399,0.232622,0.29,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,CRM,270.4132,P,243.37,0.249315,0.037399,0.225872,2.6943,0.9,100,0.0386,0.03787365
2025-03-13,2025-09-11,CRM,270.4132,C,270.41,0.49863,0.037399,0.209,15.5599,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,CRM,270.4132,C,297.45,0.49863,0.037399,0.204079,6.0788,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,CRM,270.4132,C,324.5,0.49863,0.037399,0.199688,1.879,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,CRM,270.4132,P,270.41,0.49863,0.037399,0.209,15.6724,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,CRM,270.4132,P,297.45,0.49863,0.037399,0.204079,32.7433,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,CRM,270.4132,P,324.5,0.49863,0.037399,0.199688,55.1053,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,CVX,150.0907,C,120.07,0.249315,0.0,0.232622,31.2798,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,CVX,150.0907,C,135.08,0.249315,0.0,0.225872,17.5654,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,CVX,150.0907,C,150.09,0.249315,0.0,0.22,7.2731,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,CVX,150.0907,C,180.11,0.249315,0.0,0.210197,0.3564,1.2,100,0.0386,0.03787365
2025-03-13,2025-06-12,CVX,150.0907,P,120.07,0.249315,0.0,0.232622,0.1307,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,CVX,150.0907,P,135.08,0.249315,0.0,0.225872,1.2852,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,CVX,150.0907,P,150.09,0.249315,0.0,0.22,5.8618,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,CVX,150.0907,P,180.11,0.249315,0.0,0.210197,28.6831,1.2,100,0.0386,0.03787365
2025-03-13,2025-09-11,CVX,150.0907,C,165.1,0.49863,0.0,0.204079,4.2026,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,CVX,150.0907,P,165.1,0.49863,0.0,0.204079,16.2323,1.1,100,0.0372,0.03652477
2025-03-13,2025-06-12,DIS,96.4587,C,77.17,0.249315,0.0,0.232622,20.098,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,DIS,96.4587,C,86.81,0.249315,0.0,0.225872,11.2902,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,DIS,96.4587,C,106.1,0.249315,0.0,0.21482,1.2968,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,DIS,96.4587,P,77.17,0.249315,0.0,0.232622,0.0841,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,DIS,96.4587,P,86.81,0.249315,0.0,0.225872,0.8257,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,DIS,96.4587,P,106.1,0.249315,0.0,0.21482,9.941,1.1,100,0.0386,0.03787365
2025-03-13,2025-09-11,DIS,96.4587,C,96.46,0.49863,0.0,0.209,6.5353,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,DIS,96.4587,C,115.75,0.49863,0.0,0.199688,0.8902,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,DIS,96.4587,P,96.46,0.49863,0.0,0.209,4.7957,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,DIS,96.4587,P,115.75,0.49863,0.0,0.199688,18.0926,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,DOW,34.8456,C,31.36,0.249315,0.0,0.225872,4.0786,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,DOW,34.8456,C,38.33,0.249315,0.0,0.21482,0.4682,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,DOW,34.8456,P,31.36,0.249315,0.0,0.225872,0.2983,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,DOW,34.8456,P,38.33,0.249315,0.0,0.21482,3.5924,1.1,100,0.0386,0.03787365
2025-03-13,2025-09-11,DOW,34.8456,C,27.88,0.49863,0.0,0.220991,7.5956,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,DOW,34.8456,C,34.85,0.49863,0.0,0.209,2.3588,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,DOW,34.8456,C,41.81,0.49863,0.0,0.199688,0.3221,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,DOW,34.8456,P,27.88,0.49863,0.0,0.220991,0.1269,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,DOW,34.8456,P,34.85,0.49863,0.0,0.209,1.7343,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,DOW,34.8456,P,41.81,0.49863,0.0,0.199688,6.532,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,DUK,116.1405,C,92.91,0.249315,0.0,0.232622,24.2048,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,DUK,116.1405,C,104.53,0.249315,0.0,0.225872,13.5882,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,DUK,116.1405,C,116.14,0.249315,0.0,0.22,5.6279,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,DUK,116.1405,C,127.75,0.249315,0.0,0.21482,1.5613,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,DUK,116.1405,P,92.91,0.249315,0.0,0.232622,0.1011,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,DUK,116.1405,P,104.53,0.249315,0.0,0.225872,0.9953,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,DUK,116.1405,P,116.14,0.249315,0.0,0.22,4.5359,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,DUK,116.1405,P,127.75,0.249315,0.0,0.21482,11.9701,1.1,100,0.0386,0.03787365
2025-03-13,2025-09-11,DUK,116.1405,C,139.37,0.49863,0.0,0.199688,1.0717,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,DUK,116.1405,P,139.37,0.49863,0.0,0.199688,21.7859,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,EOG,119.0068,C,130.91,0.249315,0.005202,0.21482,1.5636,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,EOG,119.0068,C,142.81,0.249315,0.005202,0.210197,0.2741,1.2,100,0.0386,0.03787365
2025-03-13,2025-06-12,EOG,119.0068,P,130.91,0.249315,0.005202,0.21482,12.3908,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,EOG,119.0068,P,142.81,0.249315,0.005202,0.210197,22.8895,1.2,100,0.0386,0.03787365
2025-03-13,2025-09-11,EOG,119.0068,C,95.21,0.49863,0.005202,0.220991,25.6558,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,EOG,119.0068,C,107.11,0.49863,0.005202,0.214578,15.5597,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,EOG,119.0068,C,119.01,0.49863,0.005202,0.209,7.885,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,EOG,119.0068,P,95.21,0.49863,0.005202,0.220991,0.4491,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,EOG,119.0068,P,107.11,0.49863,0.005202,0.214578,2.0382,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,EOG,119.0068,P,119.01,0.49863,0.005202,0.209,6.0487,1.0,100,0.0372,0.03652477
2025-03-13,2025-06-12,EQIX,824.4549,C,742.01,0.249315,0.0,0.225872,96.4797,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,EQIX,824.4549,C,906.9,0.249315,0.0,0.21482,11.0768,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,EQIX,824.4549,C,989.35,0.249315,0.0,0.210197,1.958,1.2,100,0.0386,0.03787365
2025-03-13,2025-06-12,EQIX,824.4549,P,742.01,0.249315,0.0,0.225872,7.0614,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,EQIX,824.4549,P,906.9,0.249315,0.0,0.21482,84.9989,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,EQIX,824.4549,P,989.35,0.249315,0.0,0.210197,157.5551,1.2,100,0.0386,0.03787365
2025-03-13,2025-09-11,EQIX,824.4549,C,659.56,0.49863,0.0,0.220991,179.7935,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,EQIX,824.4549,C,824.45,0.49863,0.0,0.209,55.8668,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,EQIX,824.4549,P,659.56,0.49863,0.0,0.220991,2.9952,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,EQIX,824.4549,P,824.45,0.49863,0.0,0.209,40.9826,1.0,100,0.0372,0.03652477
2025-03-13,2025-06-12,EXC,42.7051,C,34.16,0.249315,0.0,0.232622,8.9033,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,EXC,42.7051,C,38.43,0.249315,0.0,0.225872,5.0013,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,EXC,42.7051,P,34.16,0.249315,0.0,0.232622,0.0371,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,EXC,42.7051,P,38.43,0.249315,0.0,0.225872,0.365,0.9,100,0.0386,0.03787365
2025-03-13,2025-09-11,EXC,42.7051,C,42.71,0.49863,0.0,0.209,2.8912,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,EXC,42.7051,C,46.98,0.49863,0.0,0.204079,1.1946,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,EXC,42.7051,C,51.25,0.49863,0.0,0.199688,0.3937,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,EXC,42.7051,P,42.71,0.49863,0.0,0.209,2.1252,1.0,100,0.0372,0.03652477
2025-03-13,2025-09-11,EXC,42.7051,P,46.98,0.49863,0.0,0.204079,4.6216,1.1,100,0.0372,0.03652477
2025-03-13,2025-09-11,EXC,42.7051,P,51.25,0.49863,0.0,0.199688,8.0136,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,GE,192.1394,C,192.14,0.249315,0.009664,0.22,9.0548,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,GE,192.1394,C,211.35,0.249315,0.009664,0.21482,2.4784,1.1,100,0.0386,0.03787365
2025-03-13,2025-06-12,GE,192.1394,P,192.14,0.249315,0.009664,0.22,7.7121,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,GE,192.1394,P,211.35,0.249315,0.009664,0.21482,20.1651,1.1,100,0.0386,0.03787365
2025-03-13,2025-09-11,GE,192.1394,C,153.71,0.49863,0.009664,0.220991,41.0275,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,GE,192.1394,C,172.93,0.49863,0.009664,0.214578,24.7792,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,GE,192.1394,C,230.57,0.49863,0.009664,0.199688,1.6497,1.2,100,0.0372,0.03652477
2025-03-13,2025-09-11,GE,192.1394,P,153.71,0.49863,0.009664,0.220991,0.7477,0.8,100,0.0372,0.03652477
2025-03-13,2025-09-11,GE,192.1394,P,172.93,0.49863,0.009664,0.214578,3.3725,0.9,100,0.0372,0.03652477
2025-03-13,2025-09-11,GE,192.1394,P,230.57,0.49863,0.009664,0.199688,36.8427,1.2,100,0.0372,0.03652477
2025-03-13,2025-06-12,GOOGL,162.4179,C,129.93,0.249315,0.0,0.232622,33.8504,0.8,100,0.0386,0.03787365
2025-03-13,2025-06-12,GOOGL,162.4179,C,146.18,0.249315,0.0,0.225872,19.0034,0.9,100,0.0386,0.03787365
2025-03-13,2025-06-12,GOOGL,162.4179,C,162.42,0.249315,0.0,0.22,7.869,1.0,100,0.0386,0.03787365
2025-03-13,2025-06-12,GOOGL,162.4179,C,178.66,0.249315,0.0,0.21482,2.1821,1.1,100,0.0386,0.03787365
